neighborhood,value
South Side Flats,0.996875
Central Northside,0.9678945467677862
Lincoln Place,0.9620365354520284
Allegheny West,0.9566228030576621
Lincoln-Lemington-Belmar,0.9435043487420247
Spring Garden,0.9331286866498134
Highland Park,0.9277322589382447
Upper Hill,0.9251628897315517
Bloomfield,0.9230176733477788
Manchester,0.9208645570001203
Bluff,0.9122915914289154
Beltzhoover,0.9120019260864332
Central Business District,0.8952284218129288
Central Lawrenceville,0.8834396066570362
Marshall-Shadeland,0.8687129454074876
Spring Hill-City View,0.8613046602263151
New Homestead,0.8611596394606957
Carrick,0.8588987450343084
Fineview,0.8465665252196941
Windgap,0.8325269727338389
Perry South,0.8250391236306729
West Oakland,0.8146811424100155
East Allegheny,0.8112811484290358
Lower Lawrenceville,0.8051396788852775
Summer Hill,0.7997415583243048
Overbrook,0.7971078608402552
Polish Hill,0.7786057692307691
Morningside,0.7759163958107619
Knoxville,0.7718953141928493
Greenfield,0.7652858658360419
Squirrel Hill North,0.7596259179005658
Central Oakland,0.7582505718069097
Hazelwood,0.7333271262188515
Brookline,0.7303114090526062
Point Breeze,0.7258063605994943
Beechview,0.7251707896954376
Perry North,0.7235625827615264
Arlington,0.7226125180570604
Homewood North,0.7130605212471409
Larimer,0.7088396833995425
Allegheny Center,0.7074406374142289
Friendship,0.6956429818225592
Shadyside,0.6937567713976164
Elliott,0.6937293096183941
Squirrel Hill South,0.6925676387384134
Sheraden,0.6843874142289635
Chartiers City,0.6590210063801613
Homewood South,0.6439388467557481
St. Clair,0.6428339803779944
Brighton Heights,0.6419706271818948
South Side Slopes,0.6266834446852052
Duquesne Heights,0.6154169676176717
Stanton Heights,0.6043886180329842
Strip District,0.5927564854941616
East Liberty,0.5820337892741061
Mount Washington,0.5767556729264476
North Oakland,0.5727663792584567
California-Kirkbride,0.5613921241121944
Point Breeze North,0.5269464006259781
Westwood,0.5007326276032261
East Hills,0.42026284308414585
North Shore,0.33126730468279764
Crafton Heights,0.2203141928494041
Regent Square,0.0375
