Neighborhood,Traffic_Score,Safety_Score,Education_Score,Final_Score
Central Oakland,0.7582505718069097,0.6701904585320666,1.0,0.7625704008081062
North Oakland,0.5727663792584567,0.794306997995457,0.9283881809051424,0.754661048956294
Bluff,0.9122915914289154,0.6557160717068198,0.7194428681351799,0.7454340869091205
Squirrel Hill North,0.7596259179005658,0.717522363355691,0.5594576586149472,0.6985404887710047
New Homestead,0.8611596394606957,0.7606050623964133,0.1500289226597454,0.6686562075683645
Allegheny West,0.956622803057662,0.6924919317489455,0.1655797186174956,0.6663487505152705
West Oakland,0.8146811424100155,0.6306796930499772,0.5263068845732897,0.6650055661626513
Beltzhoover,0.9120019260864332,0.6726320302454951,0.1913914482499198,0.6481948825986614
Bloomfield,0.9230176733477788,0.621949733284515,0.2725260918816057,0.6423853870229123
South Side Flats,0.996875,0.5311329786940309,0.3816546282245827,0.6409599149919318
Highland Park,0.9277322589382448,0.6291222343140197,0.2055632931337019,0.6339934534652237
Greenfield,0.7652858658360419,0.738781687085538,0.1645382898429792,0.6318842612621774
Central Northside,0.9678945467677862,0.6297094935085304,0.1057688268594596,0.6263768761564931
Lincoln Place,0.9620365354520284,0.6360095895063386,0.0944315687412368,0.6255020691370251
Central Business District,0.8952284218129288,0.4971548763326993,0.5164639828175116,0.6204387612737307
Friendship,0.6956429818225592,0.6612676506141326,0.3945330851071129,0.6182333368752566
Lincoln-Lemington-Belmar,0.9435043487420248,0.5802732262774564,0.2051473813592317,0.614217394033182
Polish Hill,0.7786057692307691,0.717767954580094,0.0914695671663718,0.610759621492552
Point Breeze North,0.5269464006259781,0.8215072661301153,0.1795559490961374,0.6047487430720785
Central Lawrenceville,0.8834396066570362,0.6373120910586538,0.1038853884235345,0.6044650052111447
Squirrel Hill South,0.6925676387384134,0.6968579862001161,0.2385024074172687,0.6038997662050358
Summer Hill,0.7997415583243048,0.686956262073632,0.0985479291481906,0.6031101843637455
Upper Hill,0.9251628897315516,0.5401111497568479,0.2770267390771326,0.6030097896133159
Spring Garden,0.9331286866498134,0.6143089945731142,0.0592821330163559,0.5989495298847722
Morningside,0.7759163958107619,0.6667056480303863,0.1585655777593933,0.5978408583103003
Manchester,0.9208645570001204,0.5878446981075222,0.1338873758722298,0.5969591913282432
Shadyside,0.6937567713976164,0.6129128073132739,0.40550073018037,0.5956835811119958
Allegheny Center,0.7074406374142289,0.6684943784892947,0.2162536557014741,0.5897301116092108
Fineview,0.8465665252196941,0.579953685179954,0.2085917456907549,0.5856651492940362
Perry South,0.8250391236306729,0.6116776893223519,0.1383320216266089,0.5810169860756995
Point Breeze,0.7258063605994943,0.6601851400365071,0.1620538952152236,0.5802452572411465
Stanton Heights,0.6043886180329842,0.716227843246933,0.1765425327971012,0.5747390135927819
Marshall-Shadeland,0.8687129454074876,0.5888768828861755,0.0975597146031087,0.5745642679859557
Windgap,0.8325269727338389,0.5803422762572574,0.1372910735203577,0.5673874446528518
Lower Lawrenceville,0.8051396788852775,0.5938041563176661,0.1429706129416865,0.5670381044127536
South Side Slopes,0.6266834446852052,0.6412142594289079,0.2699146144233709,0.5625950860046897
Overbrook,0.7971078608402552,0.5859445655073652,0.1410504128829086,0.5603147235823409
Brookline,0.7303114090526062,0.6303639293284431,0.129497845625186,0.5601749565050406
Carrick,0.8588987450343084,0.5559819572181355,0.120363768948138,0.5597333559089878
Arlington,0.7226125180570604,0.6124341229330681,0.1827704599287068,0.5595549088693935
East Allegheny,0.8112811484290358,0.5798374138190809,0.1204854807442079,0.5574001475870928
Duquesne Heights,0.6154169676176717,0.6938883148403885,0.1147350373450525,0.5545162551745062
Elliott,0.6937293096183941,0.5923363322007871,0.2091543488717144,0.5461178287602547
Hazelwood,0.7333271262188515,0.5944714988216414,0.1394723971073626,0.5451283666979486
Homewood North,0.7130605212471409,0.5653050374710735,0.1974719562554128,0.5360650663607616
Perry North,0.7235625827615264,0.5739110476718288,0.1423092191596659,0.5324861424963054
Knoxville,0.7718953141928493,0.5388846725942431,0.1525527312185614,0.5315214767986887
Beechview,0.7251707896954376,0.5603563227662257,0.1621056936903457,0.5301505370298133
Mount Washington,0.5767556729264476,0.6444501970665953,0.1680313127569479,0.5288580629626215
Homewood South,0.6439388467557481,0.6173561001982478,0.1337614505731265,0.5286119942404737
Brighton Heights,0.6419706271818948,0.5953582023887678,0.1242936039572492,0.5151290101404021
Sheraden,0.6843874142289635,0.5530034754016057,0.1405435115597818,0.5099266642814483
Westwood,0.5007326276032261,0.6711425495531818,0.108517183368436,0.5074944997312459
Larimer,0.7088396833995425,0.5499539116645105,0.0874240523850841,0.5051136713291348
Strip District,0.5927564854941616,0.6294243483941914,0.0494601039365834,0.5024311406326608
East Liberty,0.5820337892741061,0.5504028200912132,0.2269937789200679,0.495210302611852
California-Kirkbride,0.5613921241121944,0.6023711662741622,0.1058853795254747,0.49078029627583436
North Shore,0.3312673046827976,0.6402926542037359,0.0738781703880338,0.434302152584314
East Hills,0.4202628430841458,0.5393226557240176,0.1561342776241951,0.42696703631209154
Regent Square,0.0375,0.7472020130421413,0.1113236883655167,0.40711574419417396
Crafton Heights,0.2203141928494041,0.5441239115391802,0.1108611030849188,0.36032843424139505
